,ChefID1,ChefID2,FriendsSince
0,51,89,2023-12-28
1,1,71,2023-08-09
2,0,38,2023-02-13
3,60,68,2023-02-03
4,19,42,2023-10-15
5,71,92,2023-05-16
6,18,44,2023-11-12
7,60,86,2023-10-19
8,19,85,2023-10-30
9,1,58,2023-01-17
10,64,66,2023-01-06
11,47,64,2023-12-05
12,41,74,2023-05-18
13,3,14,2023-05-12
14,26,38,2023-03-01
15,27,68,2023-08-02
16,85,91,2023-05-11
17,7,56,2023-11-15
18,54,67,2023-02-16
19,4,17,2023-07-30
20,3,21,2023-08-07
21,26,83,2023-08-28
22,65,91,2023-08-17
23,23,35,2023-11-22
24,64,92,2023-10-22
25,23,46,2023-01-10
26,53,60,2023-05-27
27,17,26,2023-06-28
28,54,75,2023-01-03
29,65,71,2023-03-23
30,67,71,2023-04-06
31,44,64,2023-09-24
32,7,80,2023-02-23
33,6,93,2023-05-08
34,38,56,2023-07-21
35,28,39,2023-03-08
36,11,64,2023-09-19
37,0,45,2023-07-07
38,7,60,2023-11-09
39,11,36,2023-06-11
40,22,90,2023-01-20
41,47,90,2023-09-01
42,60,66,2023-11-02
43,24,94,2023-09-14
44,66,94,2023-09-19
45,30,56,2023-06-03
46,3,18,2023-07-23
47,10,45,2023-04-28
48,40,49,2023-02-10
49,45,47,2023-08-01
50,25,83,2023-03-02
51,11,35,2023-03-19
52,63,67,2023-06-18
53,18,73,2023-10-03
54,32,41,2023-06-18
55,20,87,2023-09-08
56,23,33,2023-10-23
57,26,41,2023-02-05
58,78,83,2023-12-08
59,35,39,2023-12-26
60,2,38,2023-03-12
61,3,36,2023-06-24
62,34,41,2023-09-27
63,63,64,2023-05-28
64,12,84,2023-10-30
65,53,63,2023-07-10
66,5,31,2023-02-05
67,21,55,2023-07-03
68,44,68,2023-06-07
69,0,47,2023-01-01
70,37,51,2023-12-03
71,74,75,2023-12-11
72,8,40,2023-05-28
73,89,91,2023-06-28
74,48,51,2023-04-02
75,14,74,2023-08-10
76,34,37,2023-07-05
77,26,34,2023-11-14
78,1,5,2023-12-15
79,14,15,2023-08-26
80,24,74,2023-09-18
81,3,23,2023-09-03
82,28,54,2023-04-08
83,20,75,2023-12-12
84,19,37,2023-11-11
85,68,73,2023-10-31
86,70,91,2023-08-29
87,2,83,2023-11-19
88,26,63,2023-10-12
89,30,58,2023-10-06
90,24,69,2023-08-17
91,44,48,2023-09-27
92,52,82,2023-11-07
93,23,91,2023-10-16
94,46,82,2023-08-18
95,17,24,2023-06-03
96,20,41,2023-07-11
97,24,70,2023-06-13
98,5,54,2023-08-14
99,20,46,2023-12-28
100,80,81,2023-03-09
101,66,82,2023-09-20
102,10,66,2023-11-18
103,74,94,2023-04-01
104,1,68,2023-05-12
105,16,86,2023-04-26
106,66,85,2023-04-18
107,9,64,2023-09-10
108,27,30,2023-03-09
109,14,34,2023-05-31
110,10,41,2023-12-20
111,61,70,2023-01-26
112,69,85,2023-04-24
113,10,35,2023-06-14
114,27,84,2023-08-25
115,48,77,2023-06-26
116,5,63,2023-09-12
117,57,76,2023-07-13
118,0,60,2023-12-25
119,34,74,2023-09-23
120,11,78,2023-11-21
121,35,44,2023-10-07
122,22,46,2023-11-07
123,18,92,2023-03-30
124,16,92,2023-07-30
125,42,49,2023-09-30
126,54,63,2023-11-02
127,14,63,2023-02-17
128,17,40,2023-02-21
129,31,53,2023-03-27
130,75,94,2023-09-04
131,24,77,2023-01-30
132,9,63,2023-01-09
133,20,76,2023-12-09
134,21,88,2023-06-07
135,8,90,2023-07-11
136,36,63,2023-10-18
137,27,67,2023-08-10
138,32,66,2023-08-27
139,61,82,2023-07-25
140,32,73,2023-08-19
141,63,87,2023-11-25
142,31,47,2023-05-24
143,21,41,2023-02-05
144,35,70,2023-10-14
145,59,60,2023-08-30
146,21,67,2023-12-24
147,13,33,2023-01-29
148,33,70,2023-07-23
149,11,51,2023-01-05
150,58,94,2023-09-26
151,12,61,2023-08-05
