RecipeID,IngredientID,Amount,Unit
1,82,11,ml
1,1720,379,tbsp
1,511,289,g
1,137,58,tbsp
2,1323,44,ml
2,1327,104,tbsp
2,821,331,g
3,647,346,cup
3,1563,315,tsp
3,398,497,cup
3,1401,314,tbsp
3,791,223,tsp
4,607,269,tbsp
4,328,436,cup
4,926,262,cup
4,1560,119,cup
4,947,321,cup
5,582,137,tsp
5,118,471,cup
5,980,83,tsp
5,687,293,g
6,1288,157,tbsp
6,319,484,cup
6,1425,405,tsp
6,1016,152,g
7,305,280,ml
7,1831,372,g
7,1765,369,cup
7,99,146,tbsp
8,1232,464,tbsp
8,344,227,tbsp
8,575,337,cup
9,807,113,tsp
9,1593,137,cup
9,1646,148,tsp
9,523,60,tbsp
9,706,188,cup
10,20,294,tbsp
10,1465,402,tbsp
10,862,281,cup
11,166,257,tsp
11,1773,53,tbsp
11,852,289,g
12,1431,209,tbsp
12,1591,57,g
12,814,465,cup
13,810,489,tbsp
13,357,301,g
13,1479,404,tsp
14,297,168,ml
14,1373,116,tbsp
14,594,408,ml
15,1673,494,g
15,174,234,cup
15,540,429,ml
16,1149,218,tbsp
16,1162,20,tbsp
16,945,278,tsp
16,683,158,g
17,315,310,cup
17,1164,6,tbsp
17,1556,210,g
17,1382,175,tbsp
17,72,455,tsp
18,1363,422,g
18,1230,489,cup
18,669,275,tbsp
18,1738,158,tbsp
18,1125,127,cup
19,1689,249,g
19,212,43,ml
19,282,293,cup
19,945,313,tbsp
20,1761,417,tbsp
20,751,405,tsp
20,544,132,ml
21,1830,54,tsp
21,1616,293,tsp
21,1295,251,tbsp
21,772,377,ml
21,25,178,ml
22,1796,340,tsp
22,1368,313,cup
22,602,427,g
22,1220,77,g
23,664,288,g
23,977,165,ml
23,161,261,ml
23,468,365,cup
24,407,409,ml
24,1368,217,cup
24,1445,452,tbsp
25,625,443,tbsp
25,767,100,ml
25,1602,136,ml
26,919,286,cup
26,127,171,ml
26,864,258,g
27,208,116,tsp
27,1627,476,tsp
27,183,294,g
28,28,216,cup
28,818,408,tsp
28,701,336,ml
29,1584,135,ml
29,358,498,tsp
29,215,93,ml
29,712,488,ml
29,283,204,ml
30,850,302,g
30,356,330,g
30,1278,49,tsp
30,784,276,cup
30,1726,316,tbsp
31,776,454,g
31,306,331,ml
31,218,88,cup
32,294,144,tsp
32,1822,169,tbsp
32,709,37,g
32,1592,44,g
33,1422,129,ml
33,339,154,tbsp
33,981,279,tsp
33,471,258,ml
34,778,168,ml
34,1320,180,g
34,473,414,ml
35,1614,221,g
35,1849,43,tbsp
35,972,41,g
35,894,298,ml
35,177,122,tsp
36,1408,380,tsp
36,1331,365,g
36,391,92,tsp
37,78,349,cup
37,395,43,ml
37,1650,123,g
37,419,358,cup
37,1172,295,tbsp
38,331,376,tbsp
38,1632,245,tsp
38,1608,248,ml
38,1717,487,cup
39,1793,368,g
39,324,451,tsp
39,1517,89,ml
40,525,455,cup
40,1762,209,cup
40,731,361,ml
40,209,358,ml
41,1000,271,g
41,1309,105,tbsp
41,38,40,g
42,585,413,tbsp
42,1771,42,tbsp
42,636,432,tbsp
42,1607,231,tbsp
43,957,89,tsp
43,37,91,tbsp
43,299,407,tbsp
43,273,71,tbsp
43,1,55,cup
44,1208,29,g
44,1290,228,tsp
44,88,207,ml
45,1298,390,tbsp
45,295,269,tsp
45,1100,41,ml
46,1192,368,cup
46,748,245,g
46,1818,243,tbsp
47,428,189,g
47,1102,487,cup
47,1567,102,g
47,654,36,tsp
48,1641,79,cup
48,1767,74,tbsp
48,698,198,ml
48,1379,1,tbsp
48,1099,239,g
49,1546,456,tsp
49,1025,331,cup
49,1583,312,tbsp
49,279,219,tsp
49,1844,143,ml
50,62,420,tbsp
50,1804,82,tsp
50,432,263,g
51,731,289,cup
51,125,354,tbsp
51,521,203,ml
51,989,9,ml
52,1402,419,ml
52,1684,206,tbsp
52,1068,396,g
52,1519,67,ml
53,616,15,g
53,1416,184,g
53,1101,389,tsp
53,220,354,tsp
54,624,236,g
54,1338,327,tsp
54,267,445,cup
54,666,94,tbsp
54,1557,218,tsp
55,649,228,tbsp
55,390,407,g
55,539,348,cup
55,1225,276,g
56,646,198,tbsp
56,767,90,tbsp
56,989,158,ml
56,1643,119,cup
57,961,401,tbsp
57,295,383,g
57,794,33,tbsp
58,61,55,ml
58,1033,295,cup
58,1743,442,tsp
59,139,168,ml
59,1849,303,ml
59,1396,123,g
60,378,180,cup
60,672,118,tsp
60,971,193,g
60,1611,448,tsp
60,83,139,tsp
61,188,273,ml
61,588,340,tsp
61,1071,161,g
62,803,223,tsp
62,1735,274,tbsp
62,119,188,cup
63,1009,108,ml
63,1440,125,cup
63,1378,7,g
63,284,202,cup
64,728,289,ml
64,1185,293,g
64,207,484,ml
65,1471,159,ml
65,429,340,tsp
65,645,197,ml
66,263,64,tbsp
66,1041,334,tbsp
66,260,160,tbsp
66,1312,415,tbsp
67,663,456,cup
67,1576,492,g
67,865,210,ml
67,579,215,tsp
68,1379,118,tsp
68,255,219,tbsp
68,716,463,tsp
68,1853,117,tbsp
68,655,243,tbsp
69,1722,279,tbsp
69,717,300,tbsp
69,527,472,ml
69,1657,428,tbsp
69,1093,307,cup
70,1015,332,tbsp
70,38,478,cup
70,1810,44,tbsp
70,1839,194,cup
71,1680,157,tbsp
71,1543,221,cup
71,923,77,cup
71,692,30,cup
72,1221,467,tsp
72,1143,200,tsp
72,1605,446,tsp
72,202,35,g
72,1755,150,tbsp
73,212,332,ml
73,857,4,cup
73,179,232,g
73,1031,246,tbsp
73,32,376,g
74,1070,147,tsp
74,405,405,g
74,1391,140,tsp
74,1211,357,tsp
74,755,61,tsp
75,950,187,ml
75,1161,165,cup
75,435,253,tsp
75,1804,434,ml
76,1836,342,ml
76,1785,96,tbsp
76,1136,333,tsp
76,222,224,cup
77,468,346,cup
77,979,366,ml
77,1415,111,g
77,1477,322,g
78,699,196,g
78,910,419,tbsp
78,1521,16,cup
79,1323,434,g
79,67,442,tbsp
79,637,331,cup
79,1424,448,tbsp
79,442,5,cup
80,1389,340,g
80,690,183,cup
80,1845,400,tbsp
81,1799,461,tbsp
81,914,33,tsp
81,950,340,tsp
82,1797,448,ml
82,1785,169,g
82,103,401,tbsp
83,611,310,tsp
83,1579,327,ml
83,963,243,tsp
84,1852,106,cup
84,688,65,tsp
84,605,472,g
84,317,381,ml
85,972,149,ml
85,1117,376,g
85,252,82,ml
86,1402,146,ml
86,47,213,cup
86,867,367,tbsp
86,1343,171,cup
87,532,22,ml
87,515,334,tbsp
87,800,124,tsp
87,372,320,tsp
87,350,27,tbsp
88,1238,468,cup
88,1534,158,ml
88,565,329,ml
88,1330,373,tsp
89,1124,451,tbsp
89,587,242,ml
89,885,51,ml
90,296,111,tsp
90,642,398,g
90,315,390,g
90,449,46,cup
91,951,462,tsp
91,102,171,tsp
91,1336,458,tsp
92,1537,496,g
92,941,187,tsp
92,1180,212,cup
92,1022,82,tsp
92,1570,413,cup
93,444,415,g
93,171,396,tsp
93,167,339,g
93,490,217,g
93,47,280,tsp
94,1212,57,cup
94,108,372,tsp
94,992,339,tbsp
94,333,276,cup
94,551,324,g
95,1514,234,g
95,663,356,tbsp
95,1472,383,cup
95,777,374,g
96,1069,95,tbsp
96,1166,464,cup
96,1362,172,cup
96,887,214,g
97,210,35,cup
97,976,472,tbsp
97,941,86,cup
97,1134,148,tbsp
98,60,468,g
98,971,462,ml
98,470,178,tbsp
98,671,45,g
99,276,383,ml
99,911,364,cup
99,893,164,g
99,251,426,tbsp
100,1171,406,g
100,1282,190,tbsp
100,641,422,cup
101,1584,468,tsp
101,535,187,tbsp
101,1851,137,cup
102,1168,442,g
102,457,345,ml
102,664,171,tsp
102,373,313,ml
103,1677,289,tsp
103,16,18,g
103,310,268,tbsp
103,1857,454,tbsp
103,580,433,tsp
104,690,465,g
104,268,451,tsp
104,834,428,ml
104,412,146,g
104,1746,161,tbsp
105,1438,61,ml
105,471,212,tsp
105,886,279,tsp
105,235,343,cup
105,1853,13,tbsp
106,1426,110,tbsp
106,879,243,cup
106,407,126,cup
106,1270,364,tbsp
107,1259,227,ml
107,194,164,tsp
107,1555,449,tsp
107,936,414,ml
107,773,67,ml
108,1292,50,tsp
108,984,276,tbsp
108,741,212,tsp
108,1659,123,g
108,699,191,tbsp
109,1083,60,tsp
109,1582,176,tsp
109,74,479,ml
110,254,334,cup
110,304,288,ml
110,963,353,cup
110,504,435,g
111,381,496,tsp
111,432,372,ml
111,1138,107,tsp
111,935,154,g
112,1367,486,tbsp
112,1591,25,tbsp
112,82,499,cup
112,1067,132,tsp
113,1286,416,cup
113,1384,260,ml
113,42,137,cup
113,164,315,ml
113,36,221,ml
114,1802,174,g
114,724,288,ml
114,1684,263,tbsp
115,283,290,tbsp
115,870,129,cup
115,1204,19,ml
115,1271,380,tsp
116,152,57,cup
116,271,464,tbsp
116,318,364,ml
117,1806,87,tbsp
117,251,168,g
117,1108,184,cup
117,1049,365,cup
118,1572,210,tsp
118,37,213,g
118,1195,472,tsp
118,636,415,g
119,1837,117,cup
119,776,336,g
119,1496,460,tsp
119,1306,79,ml
119,1133,185,ml
120,1297,432,tsp
120,1764,6,cup
120,519,272,tsp
120,236,411,g
121,608,333,g
121,352,103,tsp
121,292,213,tbsp
122,1032,90,ml
122,1526,422,g
122,1343,403,tbsp
123,631,19,cup
123,1843,337,tbsp
123,262,409,ml
124,1224,416,tsp
124,1820,109,tsp
124,1533,102,cup
124,1310,146,tsp
125,1092,19,cup
125,167,23,cup
125,332,92,tsp
125,549,284,g
125,1431,21,tbsp
126,336,434,ml
126,604,354,cup
126,411,338,cup
127,1580,187,tbsp
127,1467,339,cup
127,25,238,ml
128,1596,169,g
128,1050,473,tbsp
128,1592,137,tsp
128,1331,460,ml
129,1196,298,tbsp
129,51,211,tbsp
129,1554,237,cup
129,1152,78,ml
129,411,209,cup
130,1458,122,ml
130,881,24,cup
130,1531,137,g
130,547,371,g
131,1431,323,g
131,178,389,g
131,1053,312,cup
131,1467,151,ml
131,358,468,tbsp
132,365,223,g
132,1404,303,tbsp
132,590,216,tbsp
133,692,314,cup
133,1500,497,cup
133,840,81,tbsp
133,940,366,ml
133,480,396,tsp
134,1288,378,cup
134,566,244,g
134,575,132,cup
135,1455,440,tsp
135,746,332,ml
135,739,116,tsp
136,1299,23,g
136,384,453,g
136,200,105,cup
136,1230,270,g
136,930,482,g
137,1315,293,tbsp
137,82,312,tsp
137,1521,21,tbsp
137,240,178,cup
137,949,458,ml
138,1506,308,cup
138,766,334,ml
138,1151,156,cup
138,1633,266,tbsp
138,838,331,ml
139,1096,225,g
139,1665,93,cup
139,346,358,ml
140,1437,369,tbsp
140,1361,81,g
140,1613,253,g
141,553,438,cup
141,1018,3,cup
141,817,421,g
142,1596,143,tsp
142,865,123,ml
142,1244,277,g
142,1634,377,cup
143,176,200,ml
143,551,152,tbsp
143,1579,269,cup
143,104,64,g
144,1112,124,cup
144,913,371,g
144,3,415,g
144,104,311,tsp
144,1465,187,ml
145,100,224,cup
145,783,452,ml
145,1653,382,ml
145,1279,197,tsp
146,1400,218,ml
146,164,337,tbsp
146,939,306,tsp
146,503,104,tsp
147,1724,56,tsp
147,1505,336,g
147,179,61,tbsp
147,1771,466,cup
147,183,475,tsp
148,1130,151,cup
148,49,145,tbsp
148,1562,72,cup
148,900,128,tsp
148,1091,18,ml
149,244,183,tsp
149,693,360,tbsp
149,356,476,tsp
149,793,198,tbsp
149,1856,147,tbsp
150,780,317,g
150,328,399,g
150,924,214,ml
150,89,168,ml
151,340,20,g
151,126,191,tsp
151,1310,230,tsp
151,550,61,g
151,836,238,g
152,265,308,tbsp
152,1772,342,cup
152,122,368,tsp
152,1319,108,cup
153,1022,494,g
153,815,401,g
153,1100,36,cup
154,899,88,ml
154,686,272,tsp
154,1470,299,tsp
155,1278,464,cup
155,1627,3,tsp
155,1740,149,g
155,982,434,cup
155,37,389,tbsp
156,804,50,tbsp
156,189,242,g
156,1255,404,tbsp
156,1832,100,tsp
157,1666,371,cup
157,634,166,g
157,744,141,tsp
157,411,11,g
157,531,31,tbsp
158,16,453,g
158,239,326,tbsp
158,1247,433,ml
159,319,256,cup
159,1361,137,tsp
159,524,270,g
159,476,114,cup
160,32,200,tsp
160,634,495,g
160,1519,434,tbsp
160,8,317,tbsp
160,956,465,g
161,178,380,tbsp
161,293,138,cup
161,982,205,ml
161,821,197,tbsp
161,781,69,tsp
162,1182,108,tbsp
162,984,368,tsp
162,364,186,tbsp
162,357,369,tbsp
162,1797,116,g
163,371,404,cup
163,409,421,cup
163,1054,385,cup
164,909,22,tsp
164,1776,414,cup
164,21,287,g
164,1832,30,g
164,244,479,tbsp
165,449,334,ml
165,1409,212,ml
165,1112,381,ml
166,741,69,g
166,1612,336,g
166,730,88,tbsp
166,292,330,tbsp
167,41,380,tsp
167,468,374,tsp
167,1698,184,tbsp
167,821,489,ml
168,238,207,g
168,83,102,g
168,1692,157,ml
168,1433,358,tsp
169,808,79,g
169,1021,116,tsp
169,1749,161,tsp
169,1154,312,tbsp
169,1155,329,tsp
170,498,80,tbsp
170,326,99,g
170,993,362,tbsp
170,249,47,cup
171,500,166,cup
171,459,4,tsp
171,743,292,ml
171,370,48,cup
171,428,112,cup
172,764,94,ml
172,1275,395,tbsp
172,1164,161,g
173,647,49,g
173,1112,328,tbsp
173,314,35,tsp
173,1591,245,tbsp
174,1564,222,tbsp
174,161,319,ml
174,1578,337,g
174,1180,433,tsp
174,638,280,tsp
175,1179,322,tsp
175,1769,471,ml
175,1590,33,tsp
175,676,274,cup
175,1354,3,g
176,1080,217,tbsp
176,891,437,g
176,614,216,tbsp
177,455,360,g
177,1433,475,tsp
177,1698,143,g
177,193,272,g
178,1804,91,cup
178,1767,177,tsp
178,1672,164,ml
178,1217,456,cup
179,279,195,tsp
179,1411,14,tsp
179,215,44,tsp
179,803,295,tsp
180,1131,219,g
180,508,432,tsp
180,1487,28,ml
180,1290,12,g
181,1404,294,ml
181,341,84,tsp
181,577,360,tbsp
181,1827,405,g
181,1299,354,g
182,1084,241,g
182,1417,1,tsp
182,684,246,tbsp
183,1102,409,cup
183,1486,493,tsp
183,1103,189,g
183,1613,365,g
184,892,218,cup
184,1289,440,ml
184,1140,272,tsp
184,1739,444,tbsp
184,507,259,tsp
185,633,394,g
185,48,401,tbsp
185,949,277,tsp
185,1807,92,ml
185,1166,112,cup
186,246,210,ml
186,446,234,g
186,80,497,ml
187,1518,423,cup
187,327,303,cup
187,959,336,tsp
187,1640,77,tsp
187,275,408,g
188,1259,198,tsp
188,699,120,g
188,564,482,ml
188,1769,39,g
188,1105,314,tsp
189,835,441,g
189,582,442,tsp
189,934,449,g
190,1188,75,g
190,45,149,tsp
190,1794,254,tsp
191,1019,33,tbsp
191,577,380,tbsp
191,33,447,ml
191,1523,244,tsp
192,1782,387,tbsp
192,1724,31,ml
192,918,422,tbsp
192,558,225,tsp
193,15,363,tsp
193,1034,99,cup
193,1571,149,tsp
193,267,209,tsp
194,561,199,tbsp
194,407,228,tbsp
194,911,353,tsp
194,318,317,cup
194,270,440,cup
195,1082,69,tsp
195,711,327,cup
195,1808,439,cup
195,691,468,ml
195,947,348,tsp
196,1000,111,tbsp
196,369,366,ml
196,462,108,tsp
197,1563,255,cup
197,1197,225,tbsp
197,1085,480,cup
197,324,208,g
198,940,363,g
198,1748,362,tbsp
198,540,119,ml
199,1316,17,cup
199,1111,111,ml
199,323,323,g
199,1003,347,tsp
199,466,263,tbsp
200,1613,112,g
200,1717,374,tbsp
200,769,326,ml
201,977,105,cup
201,772,162,cup
201,1601,365,tbsp
202,374,159,tbsp
202,36,349,tbsp
202,870,410,tbsp
203,65,124,ml
203,144,227,g
203,223,172,tbsp
204,413,308,g
204,446,143,ml
204,955,190,ml
204,1417,196,ml
205,1076,356,g
205,245,204,ml
205,262,223,ml
205,1728,298,cup
206,798,452,ml
206,795,19,tsp
206,211,194,g
206,190,263,ml
207,32,221,tsp
207,530,27,ml
207,1124,436,ml
208,1545,21,ml
208,325,52,g
208,725,348,g
208,47,199,tbsp
208,195,498,ml
209,1378,155,ml
209,393,178,ml
209,232,83,cup
210,1012,405,g
210,1269,270,g
210,338,99,tbsp
211,186,118,cup
211,1449,40,tbsp
211,1824,268,tsp
211,437,13,ml
212,1038,9,tsp
212,1187,235,g
212,1647,211,tbsp
213,1262,499,tsp
213,1021,152,tbsp
213,1306,233,g
213,739,330,g
214,189,467,tsp
214,939,379,tsp
214,156,61,ml
214,171,162,g
215,1396,29,cup
215,1741,194,tsp
215,849,98,tsp
215,1303,47,cup
215,1238,479,ml
216,253,106,g
216,400,286,g
216,531,126,ml
216,1774,188,tbsp
217,86,137,ml
217,72,377,tbsp
217,211,270,ml
217,1811,188,ml
218,1789,110,g
218,567,448,cup
218,34,184,g
219,1723,53,cup
219,66,104,tbsp
219,1808,255,tsp
219,744,113,tsp
220,843,176,cup
220,1093,400,tbsp
220,143,255,tsp
220,587,72,tsp
220,579,427,ml
221,659,297,ml
221,1002,10,tsp
221,1747,395,cup
221,1441,376,cup
221,1031,403,cup
222,526,495,ml
222,192,82,g
222,998,267,g
223,1169,261,g
223,269,492,tsp
223,1207,60,ml
223,1095,257,tbsp
224,1731,415,tsp
224,1092,72,g
224,109,30,cup
224,1175,211,tbsp
225,74,317,tbsp
225,560,245,tsp
225,1822,437,cup
225,1725,119,tbsp
225,1178,193,tbsp
226,596,462,tbsp
226,312,293,tsp
226,1775,284,g
226,1857,74,tsp
226,768,156,g
227,667,69,g
227,223,372,cup
227,948,168,g
228,946,488,ml
228,1232,205,ml
228,1015,34,cup
229,1846,276,cup
229,556,174,tsp
229,188,155,tsp
230,717,35,ml
230,378,149,g
230,1810,229,tbsp
231,1081,124,tsp
231,650,4,ml
231,360,393,cup
231,357,368,g
232,436,366,ml
232,1049,70,cup
232,592,370,tbsp
232,1806,39,ml
232,525,482,ml
233,1356,409,g
233,392,441,ml
233,111,294,g
233,1453,240,ml
234,917,169,cup
234,297,433,tsp
234,1734,53,cup
234,1406,423,g
235,742,139,ml
235,914,379,g
235,849,450,cup
235,287,63,tsp
236,1103,21,g
236,1689,92,tbsp
236,1647,339,cup
236,72,121,tsp
237,229,306,ml
237,1518,209,cup
237,76,192,tsp
237,1013,360,cup
237,1502,120,tbsp
238,1313,291,g
238,980,446,cup
238,26,268,tsp
238,740,22,g
238,588,322,tsp
239,986,222,cup
239,1434,327,ml
239,331,234,tbsp
239,1482,164,cup
240,64,255,ml
240,690,390,tbsp
240,50,6,g
240,352,302,ml
241,1443,395,tsp
241,556,322,tbsp
241,1134,195,g
241,1603,377,g
242,1082,206,ml
242,1332,147,tbsp
242,335,171,ml
242,1237,342,tbsp
242,705,126,ml
243,592,133,g
243,1253,173,g
243,1502,467,ml
243,1390,338,tbsp
244,1610,203,ml
244,1447,264,g
244,1802,466,g
245,164,102,tsp
245,1672,271,tsp
245,1816,232,tbsp
245,1251,313,cup
246,905,92,cup
246,968,490,ml
246,441,214,g
246,1038,309,tsp
247,1579,204,cup
247,1726,364,ml
247,1453,267,tbsp
248,318,52,cup
248,100,368,tbsp
248,533,361,tbsp
249,22,222,ml
249,1365,197,ml
249,588,128,tbsp
250,1126,107,g
250,1374,231,ml
250,1824,471,ml
251,1128,220,ml
251,1321,282,ml
251,1257,111,ml
251,683,408,cup
252,346,196,tsp
252,1599,472,tsp
252,1389,450,cup
253,1556,277,ml
253,103,167,g
253,182,4,tbsp
253,11,97,g
254,379,25,tbsp
254,499,308,tsp
254,1718,332,tsp
254,1003,360,ml
255,965,302,cup
255,878,237,tbsp
255,1600,255,tbsp
256,684,37,g
256,821,176,tsp
256,767,229,ml
257,894,270,g
257,1228,327,g
257,1442,107,g
258,1631,78,cup
258,47,484,ml
258,1829,435,ml
258,1847,277,g
258,791,95,tsp
259,263,403,tbsp
259,1507,17,g
259,740,445,tbsp
259,308,406,ml
259,1545,162,tsp
260,1574,451,tbsp
260,250,307,tsp
260,171,305,tbsp
260,1042,308,tsp
261,1824,63,tbsp
261,570,157,cup
261,1408,454,g
262,1194,268,cup
262,1261,2,g
262,814,180,cup
263,366,389,tbsp
263,1025,276,cup
263,1106,26,cup
263,868,409,g
264,1624,131,g
264,922,183,cup
264,1808,141,g
264,941,435,tbsp
265,650,145,g
265,1148,373,cup
265,823,425,ml
265,1095,157,cup
265,1345,50,cup
266,1045,12,ml
266,815,33,cup
266,134,140,tsp
267,1544,142,g
267,515,376,tbsp
267,1724,148,tsp
268,890,231,cup
268,991,344,tsp
268,47,36,ml
268,813,112,g
269,996,462,ml
269,845,184,tsp
269,814,45,g
269,1024,428,tsp
269,1067,288,ml
270,1807,22,tbsp
270,1255,185,tbsp
270,1796,222,ml
270,1408,21,tsp
271,1589,428,g
271,1390,279,tsp
271,671,158,ml
272,1008,409,g
272,1810,81,ml
272,1697,424,cup
272,1449,449,ml
273,1576,26,tbsp
273,758,270,g
273,757,247,cup
274,344,76,ml
274,706,169,cup
274,1095,4,cup
274,1815,69,tbsp
275,1037,112,tsp
275,325,92,g
275,1583,429,tbsp
275,1593,318,g
276,1030,209,tbsp
276,1033,122,cup
276,425,437,tsp
276,1163,101,tsp
277,1056,128,cup
277,9,399,ml
277,1079,375,tsp
278,954,410,tbsp
278,803,29,g
278,847,187,tbsp
278,1480,387,tsp
278,1833,79,ml
279,1830,166,ml
279,1251,390,tbsp
279,340,491,cup
279,1772,425,tsp
279,439,408,cup
280,384,463,ml
280,251,338,cup
280,1203,136,ml
280,1452,458,ml
281,255,473,cup
281,1615,184,g
281,1032,361,tsp
282,788,337,ml
282,692,245,cup
282,1538,320,tsp
282,261,132,g
283,449,401,tsp
283,1111,347,ml
283,1742,37,tsp
283,1054,435,tbsp
283,738,313,ml
284,479,445,tbsp
284,973,193,cup
284,1292,281,g
285,1626,45,tsp
285,588,235,cup
285,1387,431,cup
285,1038,83,cup
285,951,404,ml
286,217,113,tsp
286,1183,241,cup
286,1513,302,tbsp
287,1079,94,tbsp
287,1638,446,tsp
287,1486,113,cup
287,74,7,tbsp
287,1784,182,tbsp
288,1444,192,g
288,365,13,tbsp
288,1585,469,cup
288,811,128,cup
288,1501,247,cup
289,1350,50,tsp
289,1151,237,g
289,1507,382,ml
290,1171,353,g
290,1189,455,tsp
290,66,481,tsp
290,1795,449,g
290,326,26,g
291,988,223,tbsp
291,781,343,tbsp
291,1296,463,g
291,42,469,cup
292,343,57,tbsp
292,826,255,g
292,91,15,g
292,17,22,tsp
293,1422,485,tbsp
293,1394,204,g
293,1801,397,tsp
293,929,425,g
293,93,360,tsp
294,735,91,cup
294,1573,57,g
294,987,180,tsp
294,155,64,g
294,445,263,tbsp
295,1745,139,tbsp
295,1259,315,ml
295,401,335,tsp
295,950,286,g
296,97,123,cup
296,950,274,g
296,1606,43,ml
296,1699,18,tsp
297,129,437,ml
297,1189,101,tbsp
297,1149,44,tsp
298,545,178,tsp
298,159,146,g
298,1320,350,tbsp
298,1011,67,tbsp
298,437,199,tbsp
299,860,74,tbsp
299,581,257,ml
299,1095,63,tsp
299,985,138,tbsp
300,1435,276,g
300,1696,486,tsp
300,678,88,g
300,1295,40,tbsp
301,486,298,tbsp
301,1519,307,tsp
301,513,92,cup
301,853,414,g
302,1526,304,tbsp
302,1695,340,ml
302,1558,484,cup
302,1034,476,g
302,1165,404,g
303,1301,457,g
303,1843,372,tsp
303,726,256,g
303,461,136,tsp
304,781,374,tsp
304,663,222,cup
304,1547,424,cup
304,1574,275,g
305,576,122,cup
305,1827,467,g
305,1286,81,g
306,106,142,tbsp
306,1177,489,g
306,402,346,tbsp
306,239,354,cup
306,1305,321,cup
307,778,82,cup
307,350,77,g
307,1261,11,tbsp
307,1391,440,ml
307,281,372,ml
308,578,251,cup
308,1723,322,tsp
308,585,451,tbsp
308,1187,130,cup
309,1128,497,cup
309,1718,417,cup
309,815,143,tsp
309,460,126,tbsp
309,1117,112,cup
310,246,89,ml
310,837,115,g
310,819,224,tsp
310,1750,195,cup
310,126,357,cup
311,980,238,cup
311,89,397,tbsp
311,493,160,ml
311,511,123,tbsp
312,724,36,ml
312,980,488,g
312,992,387,g
312,465,496,g
312,776,229,g
313,442,237,ml
313,1576,401,tbsp
313,1009,7,tbsp
314,809,155,cup
314,377,354,cup
314,395,368,g
315,1592,220,g
315,16,383,tbsp
315,562,478,ml
315,1166,458,tbsp
315,1724,178,ml
316,1095,376,ml
316,898,227,tbsp
316,107,30,tsp
317,1580,299,g
317,303,358,tsp
317,1098,379,cup
317,403,497,tbsp
317,1502,466,tsp
318,1664,78,tsp
318,1266,253,tsp
318,1126,411,tsp
318,911,372,cup
318,48,474,g
319,954,17,cup
319,820,158,cup
319,713,345,cup
319,1615,29,tsp
319,1367,232,g
320,1643,24,g
320,1762,457,g
320,1070,260,tsp
320,758,150,ml
321,341,103,ml
321,1477,132,g
321,696,115,cup
321,1338,20,g
322,565,323,ml
322,1642,291,tbsp
322,1203,298,cup
322,1098,117,tbsp
323,1789,278,tsp
323,754,495,g
323,1161,104,tbsp
323,985,31,g
324,146,47,g
324,417,127,cup
324,1244,16,ml
324,137,229,tbsp
325,1515,432,ml
325,22,448,tsp
325,971,12,cup
325,133,315,tsp
325,1539,78,tsp
326,73,359,tbsp
326,385,387,ml
326,1111,219,ml
326,1128,110,ml
327,1304,226,cup
327,273,367,ml
327,918,361,tsp
328,372,203,cup
328,1662,134,tbsp
328,999,211,g
328,223,80,tbsp
328,1441,163,cup
329,1593,248,cup
329,1205,21,g
329,171,273,ml
329,1713,483,cup
330,333,178,tsp
330,1534,34,tbsp
330,354,480,tbsp
331,861,227,cup
331,1160,113,ml
331,584,292,tsp
331,620,321,ml
331,553,246,tsp
332,342,83,g
332,121,276,ml
332,256,443,cup
332,1144,202,g
333,1260,198,tsp
333,781,483,cup
333,840,45,ml
333,1057,285,g
334,91,440,g
334,645,170,tbsp
334,1464,494,g
334,728,485,tbsp
334,295,428,g
335,98,389,tbsp
335,1683,257,cup
335,1306,39,ml
336,1819,423,ml
336,1765,442,g
336,713,366,ml
336,688,105,ml
337,968,362,tsp
337,1700,109,ml
337,530,304,ml
337,1365,316,ml
338,741,11,tsp
338,114,141,g
338,643,388,g
339,1647,165,tbsp
339,870,426,ml
339,449,199,tsp
339,292,314,tbsp
339,249,475,g
340,72,31,cup
