RecipeID,Name,TimeRequired,Instructions,Portions,Cuisine,DishID
1,Low-Fat Berry Blue Frozen Dessert,30,"Toss 2 cups berries with sugar., Let stand for 45 minutes, stirring occasionally., Transfer berry-sugar mixture to food processor., Add yogurt and process until smooth., Strain through fine sieve. Pour into baking pan (or transfer to ice cream maker and process according to manufacturers' directions. Freeze uncovered until edges are solid but centre is soft.  Transfer to processor and blend until smooth again., Return to pan and freeze until edges are solid., Transfer to processor and blend until smooth again., 
Fold in remaining 2 cups of blueberries., Pour into plastic mold and freeze overnight. Let soften slightly to serve.",4.0,International,1
2,Biryani,30,"Soak saffron in warm milk for 5 minutes and puree in blender., Add chiles, onions, ginger, garlic, cloves, peppercorns, cardamom seeds, cinnamon, coriander and cumin seeds, poppy seeds, nutmeg, mace, cilantro or mint leaves and lemon juice. Blend into smooth paste. Put paste into large bowl, add yogurt and mix well., Marinate chicken in yogurt mixture with salt, covered for at least 2 - 6 hours in refrigerator., In skillet. heat oil over medium heat for 1 minute. Add ghee and 15 seconds later add onion and fry for about8 minutes., 
Reserve for garnish., In same skillet, cook chicken with its marinade with tomatoes for about 10 minutes over medium heat, uncovered., Remove chicken pieces from the sauce and set aside. Add rice to sauce, bring to boil, and cook, covered over low heat for 15 minutes., Return chicken and add raisins, cashews and almonds; mix well., Simmer, covered for 5 minutes., Place chicken, eggs and rice in large serving dish in such a way that yellow of the eggs, the saffron-colored rice, the nuts and the chicken make a colorful display., 
Add reserved onion as garnish.",6.0,International,2
3,Best Lemonade,30,"Into a 1 quart Jar with tight fitting lid, put sugar and lemon peel, or zest;  add 1 1/2 cups very hot water (not from tap!. With lid fitted firmly, shake jar until sugar is dissolved., Add lemon juice. Refrigerate until chilled., To Serve: Into each 12-ounce glass, over ice cubes, pour 1/4 cup of the lemon syrup., Then add chilled club soda or, if you prefer, water., Stir to mix well.",4.0,International,3
4,Carina's Tofu-Vegetable Kebabs,30,"Drain the tofu, carefully squeezing out excess water,  and pat dry with paper towels., Cut tofu into one-inch squares., Set aside.  Cut  eggplant lengthwise in half, then cut each half into approximately three strips., Cut strips crosswise into one-inch cubes., Slice zucchini into half-inch thick  slices., Cut red pepper in half, removing stem and seeds, and cut each half into  one-inch squares., Wipe mushrooms clean with a moist paper towel and remove  stems., Thread tofu and vegetables on to barbecue skewers in alternating color  combinations: For example, first a piece of eggplant, then a slice of tofu, then zucchini, then red pepper, baby corn and mushrooms., 
Continue in this way until  all skewers are full., Make the marinade by putting all ingredients in a  blender, and blend on high speed for about one minute until mixed., Alternatively, put all ingredients in a glass jar, cover tightly with the lid  and shake well until mixed., Lay the kebabs in a long, shallow baking pan or on  a non-metal tray, making sure they lie flat. Evenly pour the marinade over the  kebabs, turning them once so that the tofu and vegetables are coated., Refrigerate the kebabs for three to eight hours, occasionally spooning the  marinade over them., 
Broil or grill the kebabs at 450 F for 15-20 minutes, or on the grill, until the vegetables are browned., Suggestions  This meal can be served over cooked, brown rice. Amounts can easily be doubled to make four servings.",2.0,International,4
5,Cabbage Soup,30,"Mix everything together and bring to a boil., Reduce heat and simmer for 30 minutes (longer if you prefer your veggies to be soft., Refrigerate until cool., Serve chilled with sour cream.",4.0,International,5
6,Best Blackbottom Pie,30,"Graham Cracker Crust: In small bowl, combine graham cracker crumbs, sugar   and butter.  Press evenly on bottom and sides of 9-inch pie plate. Chill   until firm (about 1 hour., Chocolate Layer: In medium saucepan, combine sugar, cornstarch and salt.   Gradually stir in milk.  Cook over medium heat, stirring constantly, until   mixture boils.  Remove from heat. In small bowl, beat egg yolks. Gradually   stir in small amount of hot mixture; return to saucepan. Cook over low   heat, stirring constantly, for 2 minutes. Remove from heat., 
Remove 1-1/2   cups custard to medium bowl; add  semi-sweet chocolate   morsels and vanilla extract. Stir until morsels are melted and mixture is   smooth., Pour into prepared Graham Cracker Crust; chill until set (about 30   minutes., While Chocolate Layer is chilling, prepare Vanilla Layer., Vanilla Layer: In large bowl, combine cold water and gelatin; let stand 5   minutes.  Add remaining warm custard; stir until gelatin dissolves.  Cool 15   minutes.  Stir in rum; beat with wire whisk until smooth. Set aside., 
In   1-1/2 quart bowl, combine egg whites and cream of tartar; beat until foamy.  Gradually add sugar; beat until stiff peaks form.  Fold egg whites into   custard; pour over chocolate layer., Chill until set (about 2 hours., Garnish with whipped cream and chocolate shavings, if desired., Makes one   9-inch pie.",8.0,International,6
7,Warm Chicken A La King,30,"Melt 1 1/2 ozs butter, add the flour and cook for 2 to 3 minutes, stirring., Gradually add milk and cook, stirring, until thick and smooth., Melt the  remaining butter and saute sliced celery, button mushrooms and chopped pepper  until soft but not coloured., Add celery, mushrooms, pepper, chicken and  pimiento to the sauce and heat through., Season to taste.  Combine the egg  yolks, double cream and Worcestershire sauce. Add to the chicken mixture and  heat through., Transfer to a serving dish and sprinkle with chopped parsley.
",2.0,International,7
8,Buttermilk Pie With Gingersnap Crumb Crust,30,"Preheat oven to 350°F., Make pie crust, using 8 inch pie pan, do not bake., Mix sugar and margarine in medium bowl until blended; beat in egg whites and egg., Stir in flour, salt, and buttermilk until well blended., Pour filling into prepared crust, bake 40 minutes or until sharp knife inserted near center comes out clean., Sprinkle with nutmeg and serve warm or chilled., Combine graham crumbs, gingersnap crumbs, and margarine in 8 or 9 inch pie pan, pat mixture evenly on bottom and side of pan., 
Bake 8 to 10 minutes or until edge of crust is lightly browned., Cool on wire rack.",8.0,International,8
9,A Jad - Cucumber Pickle,30,"Slice the cucumber in four lengthwise, then slice the pieces to segments about an eighth of an inch thick., Slice the tops of the chilies (green ones can be used if red are not available, but Thais like the color contrast, tap out any loose seeds and discard, then slice the chilies across into thin rounds., Slice the shallots and water chestnuts., Combine and serve. This will keep 2 or 3 weeks in a refrigerator.",4.0,International,9
10,Butter Pecan Cookies,30,"Preheat oven to 350 degrees., Cream butter in large mixing bowl., Gradually add brown sugar and granulated sugar., Cream well., Add unbeaten egg yolk and vanilla and beat well., Blend in sifted flour to form a stiff dough., Shape dough into small balls., Place on greased cookie sheet. Flatten cookies with bottom of glass dipped in sugar., Bake at 350 degrees for 7-9 minutes, till golden brown (do not overbrown. Cool before frosting., Garnish with pecan halves.",4.0,International,10
