ChefID,RecipeID,Rating,DateReviewed
1,651,1,2024-08-24
1,893,2,2024-03-12
1,617,4,2024-07-30
1,21,3,2024-05-19
1,882,4,2024-04-19
1,550,5,2024-12-02
1,560,2,2024-08-30
1,39,3,2024-08-11
1,585,4,2024-10-29
1,746,2,2024-11-23
2,343,5,2024-06-01
2,628,2,2024-10-28
2,586,5,2024-01-13
2,71,3,2024-06-06
3,677,4,2024-07-21
3,373,4,2024-03-19
3,185,4,2024-03-05
3,149,3,2024-09-24
3,350,4,2024-02-24
3,720,3,2024-09-19
3,620,5,2024-02-21
3,399,1,2024-06-02
3,478,1,2024-09-07
4,108,5,2024-05-21
4,516,2,2024-10-15
4,541,2,2024-06-09
4,669,5,2024-06-03
4,483,1,2024-08-02
4,863,5,2024-01-11
4,928,5,2024-04-02
4,400,2,2024-01-04
5,532,4,2024-02-05
5,385,4,2023-12-15
5,289,5,2024-05-22
5,265,1,2024-09-02
5,354,5,2024-12-02
6,605,3,2024-01-11
6,747,4,2024-05-08
6,871,2,2024-04-20
6,203,3,2024-05-30
6,442,1,2024-10-31
6,343,3,2024-12-02
7,122,2,2024-09-13
8,157,2,2024-10-08
8,342,2,2024-04-08
8,752,3,2024-08-06
8,115,2,2024-06-05
8,242,1,2024-06-02
8,27,3,2023-12-31
8,855,1,2024-06-08
8,836,4,2024-05-14
8,4,5,2024-08-21
8,527,1,2024-07-15
9,895,1,2024-07-19
9,568,3,2024-02-18
9,341,3,2024-10-13
9,935,1,2024-07-14
9,431,4,2024-07-11
9,574,2,2024-04-25
9,197,4,2024-09-21
9,471,1,2024-07-21
9,547,1,2024-11-18
9,901,3,2024-06-14
10,768,4,2024-06-24
10,343,2,2024-11-28
10,778,1,2024-01-05
10,49,4,2024-02-26
10,395,3,2024-01-07
10,140,2,2024-11-26
10,931,5,2024-09-21
11,257,4,2024-10-08
11,167,5,2024-06-02
11,204,4,2024-04-10
12,796,4,2024-07-25
13,124,1,2024-01-04
13,711,2,2023-12-21
13,945,5,2024-11-26
14,467,1,2024-06-06
15,599,1,2024-10-18
15,388,2,2024-03-22
15,669,1,2024-02-11
15,845,1,2024-02-24
15,222,3,2024-03-17
15,596,5,2023-12-06
15,751,5,2024-10-25
15,802,3,2024-05-31
15,152,3,2024-06-10
15,906,1,2024-09-23
16,604,5,2024-08-28
17,293,1,2024-08-07
17,890,5,2024-11-02
17,892,5,2024-06-18
17,472,1,2024-09-14
17,233,3,2024-04-05
17,110,1,2024-04-15
17,135,2,2024-11-23
18,341,2,2024-10-19
18,633,5,2024-06-06
18,810,4,2024-10-04
18,664,3,2024-02-25
